NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
638,26,31366102,2634,12111,0
655,30,32591468,2840,12405,0
635,21,31961629,2959,11917,0
563,14,26704554,2391,10788,0
747,15,36744444,2268,14177,0
551,25,26377947,2433,10635,0
707,20,34341234,2815,13554,0
774,14,39238088,2397,14841,0
732,25,36197212,3037,14112,0
719,10,34391181,2689,13586,0
675,21,33519042,2770,12843,0
719,14,36066607,2455,13604,0
569,21,28356566,2612,10762,0
595,16,30011336,2782,11390,0
637,29,31949878,2398,12275,0
763,27,37467991,1875,14482,0
715,26,35986995,2430,13581,0
741,28,36965353,2281,14333,0
598,10,30284231,2353,11417,0
516,24,25530255,2392,9706,0
767,30,37792341,2604,14480,0
795,30,39199277,2723,14958,0
607,11,30407590,2700,11515,0
623,10,30839063,2804,11948,0
524,19,25899230,2677,10030,0
727,17,35573149,2521,13890,0
543,22,27186212,2777,10411,0
747,27,38136251,2105,13982,0
663,18,33983747,2346,12279,0
500,12,25013457,2408,9462,0
725,19,36961437,2168,13824,0
762,13,37739468,2104,14457,0
637,28,31903423,2439,12009,0
745,22,37250270,2428,14164,0
639,18,32856542,2195,12234,0
541,10,27196808,2125,10361,0
734,26,35626032,2335,13952,0
760,19,36700814,2625,14262,0
797,13,40623699,2941,15268,0
638,13,31780957,1929,12187,0
636,25,31654245,2608,11930,0
566,10,28349890,2691,10581,0
515,15,24857700,2826,9860,0
566,13,28488615,2738,10698,0
553,15,27022815,2656,10405,0
738,14,35467781,2565,14075,0
589,26,29926188,2234,11148,0
796,29,39502923,2277,15149,0
752,12,37731564,3358,14208,0
548,16,28379713,2469,10386,0
679,17,35871464,3103,13222,0
797,14,38650708,2354,15117,0
572,28,28071163,1794,10616,0
671,23,34668468,3029,12795,0
795,24,39427462,2478,15179,0
510,18,25249071,2578,9551,0
605,23,29123096,2638,11275,0
562,29,28239638,2235,10608,0
593,28,30712905,1853,11335,0
646,13,32113273,2680,12020,0
794,18,40557016,2706,15035,0
681,19,34001658,2403,13001,0
592,24,29511437,2354,11151,0
647,25,31365319,1795,12208,0
754,20,37955480,2204,14520,0
727,19,36178111,2322,13750,0
669,28,32609098,2644,12724,0
639,28,31615331,2704,12313,0
766,12,39226459,2729,14535,0
562,26,27877755,3114,10564,0
700,15,35128368,2875,13241,0
566,24,29014529,2430,10623,0
745,25,39104874,2406,14048,0
525,11,26078512,2220,10006,0
537,10,26870851,2358,9907,0
572,26,28269406,2338,10776,0
755,10,38400333,2187,14285,0
737,27,35980633,2735,13990,0
593,21,29652118,2277,11359,0
676,24,34727547,2508,12773,0
538,22,25672671,2785,10222,0
501,19,25297856,2671,9712,0
535,22,26845012,2619,10160,0
703,22,35465945,2447,13190,0
540,23,27067557,2850,10310,0
590,27,28772446,2308,10959,0
593,26,29204493,2437,11292,0
600,22,31207369,2624,11382,0
630,23,31768225,2544,11923,0
772,19,38510972,2414,14642,0
535,22,26085874,2569,10127,0
793,13,39672528,1866,15164,0
597,26,28477148,2940,11347,0
676,15,34494466,3303,12852,0
665,15,32604798,2327,12801,0
729,21,36874450,2491,13842,0
592,27,29905246,2286,11241,0
612,23,30374606,2753,11693,0
669,21,32610409,2900,12917,0
612,12,30825978,2547,11555,0
554,24,27133451,2616,10584,0
508,27,24144370,2647,9642,0
535,12,25139294,2578,10093,0
757,16,38254822,2609,14429,0
734,10,35951593,2096,14069,0
615,22,29521424,2132,11956,0
710,14,36793465,2358,13408,0
753,15,36302929,2326,14258,0
702,16,34132858,2561,13282,0
686,13,33513238,2504,13135,0
703,17,34127112,2631,13317,0
