NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
629,14,31956584,2858,11889,4
580,15,29483774,2976,10983,0
787,24,38821686,2520,14843,0
654,10,32857855,2227,12453,0
678,29,33881779,2887,12886,0
620,13,30806188,2734,11785,0
681,22,34672202,3022,12767,4
500,21,25491894,3208,9370,0
798,28,39082948,2707,14957,0
768,19,37945327,1831,14612,0
671,17,32941920,2466,12566,1
650,14,32121712,2762,12315,2
739,16,37294003,2162,13986,0
623,15,31148091,2170,11942,5
710,27,35984144,2313,13411,0
505,12,26037481,1852,9439,0
543,17,27339512,2484,10259,0
625,29,32176567,2721,11979,3
619,28,29994126,2294,11543,0
774,17,38068921,2759,14784,0
645,30,32190689,2405,11971,1
760,12,38345615,2941,14307,0
643,18,31890627,2435,12136,0
708,24,35476495,2695,13306,1
591,11,29466657,2560,11123,2
737,21,36487644,2258,14070,1
600,18,29763424,2643,11559,5
615,18,32058047,3002,11650,1
739,22,38901988,1986,14023,2
684,27,33274685,2274,12808,5
558,18,26823708,2131,10514,1
524,29,26643160,2480,9920,0
791,28,40236918,2240,15099,1
665,15,31612521,1994,12541,2
797,30,40812132,2711,15304,3
762,22,39296989,2525,14269,0
509,30,24703000,2655,9501,3
576,30,29070666,2750,10984,1
528,10,26701642,3471,9898,0
546,28,27785615,2462,10356,4
554,21,27289837,2146,10486,0
568,20,27885127,2550,10772,0
750,18,37025002,2019,14155,0
623,10,31260942,2340,11782,0
664,19,32075374,2517,12631,5
699,19,35126329,3035,13158,0
612,17,29521898,2402,11508,0
716,25,36095287,2428,13678,0
706,15,35517642,1640,13377,1
767,18,39647959,2451,14593,1
666,26,32978872,2528,12685,0
662,20,34435931,3206,12400,5
633,21,31887233,2321,12017,2
691,12,34922105,2557,13149,0
665,20,32308281,2678,12568,0
597,27,29903418,2376,11153,1
557,16,28222688,2947,10548,3
604,11,29615719,2889,11635,4
756,15,37714454,3046,14121,1
780,17,38892528,2267,14746,4
693,10,35708616,3157,13121,2
749,12,36912381,2167,14271,2
703,16,33951839,2500,13264,1
684,23,33723932,2606,12923,1
508,28,24543162,2460,9650,1
648,21,33659167,2699,12141,1
671,25,33197738,2464,12933,0
576,15,28784400,2671,10904,1
667,11,33913701,2274,12616,0
563,24,28442037,2637,10587,0
500,11,25006118,2434,9596,0
602,19,30182869,2845,11472,5
609,28,29310561,2880,11600,1
600,18,29734590,2952,11364,2
699,20,35786786,2364,13158,0
578,25,29192822,2503,11036,5
709,29,36206776,2665,13542,1
594,13,30721196,2500,11304,0
618,24,30852982,2789,11676,0
747,30,37077762,1976,14080,0
783,26,39096168,2435,14972,5
780,28,37954271,2517,14930,0
710,13,34747493,1843,13351,1
719,15,35791642,3457,13419,0
741,11,35781978,2369,14023,1
674,22,34057848,2212,12857,0
794,15,38562131,2336,15167,2
546,24,28320378,2173,10325,0
599,19,28003728,2174,11434,2
728,23,36763748,2476,14040,0
770,23,37895542,2459,14386,0
589,24,29705444,2005,11152,0
759,19,37242270,3109,14496,0
702,11,34834889,2302,13304,0
715,27,35603900,2422,13519,0
790,19,40065992,2659,15110,1
613,13,30173932,2825,11695,0
580,24,29316900,2351,10924,1
704,14,35143682,2862,13282,1
634,10,31129638,2558,12134,0
526,11,26431207,2507,10160,0
694,13,34183367,1737,13290,4
750,26,37261771,2384,14156,0
555,16,28571419,2687,10396,1
719,14,35033578,3064,13717,1
714,16,35775888,2875,13671,0
659,16,32844977,1566,12551,0
708,17,34277111,2397,13378,5
740,18,36181832,2369,13889,0
509,15,24816323,2097,9529,5
562,16,28227985,2415,10617,1
594,18,29771115,2061,11334,4
638,16,32082482,2702,11996,0
701,11,34635360,2326,13251,0
705,28,34444244,2319,13496,1
619,23,32574291,2603,11647,0
736,14,36689512,2431,13927,0
729,24,36213801,2606,13811,1
614,22,31628046,2477,11705,0
535,24,27319671,2484,10096,2
592,10,29414217,2705,11405,1
552,26,29131219,2353,10391,0
655,17,31938570,2895,12405,5
538,25,27153954,1912,10145,0
681,12,34216432,2417,13120,1
592,16,29539378,3259,11083,2
627,11,30397348,2107,11925,0
689,19,35511250,2285,13256,5
707,17,34569837,2260,13327,1
651,23,32272072,2188,12352,0
675,16,34528092,2058,12856,0
518,21,25297673,2192,9907,0
793,30,40245596,1811,15003,0
610,11,30981494,2420,11536,0
798,21,39708394,2735,14959,0
585,11,28523930,2202,11027,2
694,17,33536684,2374,13120,2
696,14,36305855,2983,13112,1
679,22,34334548,1889,13027,0
793,28,39766031,1887,15214,0
510,29,26030384,2677,9342,0
660,25,32368619,2502,12476,5
792,17,39934562,1951,15334,0
509,27,26876293,2485,9849,4
600,10,29943248,2001,11315,2
657,29,33717537,2308,12408,0
516,10,26026705,2334,9942,2
511,26,25328611,2205,9714,1
633,16,32651584,2574,12058,0
548,16,26521522,2085,10352,2
773,28,40040523,2529,14502,0
642,12,31000595,2390,12063,0
624,23,31721250,2698,11940,1
768,27,37899482,2176,14679,0
764,29,37941529,2155,14614,0
666,22,34323253,2647,12462,4
524,22,28082341,2802,9920,0
625,20,30783635,2746,11722,0
618,14,30776502,2170,11658,0
683,18,32448459,2715,12940,0
650,21,32436925,2410,12071,0
664,21,33700239,2646,12289,2
701,20,35721156,2927,13302,1
630,26,31710921,2526,11968,0
782,17,37458559,2851,14948,1
640,17,32272760,2361,12285,0
703,19,35196836,2904,13240,0
600,20,30664716,2587,11435,0
719,18,35379797,2782,13456,5
611,23,31092730,2687,11670,0
723,11,37497040,2179,13971,1
587,13,28612888,2374,11260,0
728,16,35932242,2326,14036,1
639,12,31605903,2052,12020,0
786,17,40707517,2758,14968,0
765,27,38822268,2761,14309,0
583,26,27942419,2567,11052,0
777,22,38268824,2576,14674,2
671,11,34017313,2125,12702,0
722,11,35136438,2394,13639,2
710,24,35836475,2549,13426,2
541,27,27074193,2170,10301,5
538,15,27331956,2440,10042,4
517,14,25512539,2706,9553,2
517,23,25983388,2196,9760,2
547,17,27243762,2616,10290,4
778,27,40502574,2370,14909,5
639,12,32260048,1595,12117,0
790,27,40422062,2433,14802,0
794,26,38902469,2469,14996,1
737,17,37022467,1897,14064,0
717,18,35327722,2314,13774,4
712,23,35874108,2239,13532,4
736,20,36809671,2402,14094,0
680,13,34785713,1801,12806,1
735,21,36659722,2155,13833,0
522,12,26009243,2708,10008,0
535,11,27808556,2603,10129,2
741,11,38063952,1589,14222,2
744,30,37223484,2647,14179,0
616,29,31141045,2016,11536,1
582,22,28973957,2807,11199,0
756,20,37567365,2460,14184,0
752,14,38224962,2457,14179,1
660,29,31627712,2539,12444,0
547,18,27442791,2096,10468,5
581,26,29115817,2693,10784,0
627,30,31242702,2686,12097,4
794,19,40739426,2441,14918,1
738,10,39425982,2157,14032,2
698,13,34810902,2539,13157,0
706,29,35147258,2909,13388,0
765,16,37920442,2307,14819,0
522,12,26487790,2693,9990,2
627,16,31495805,2573,11872,1
741,29,37575186,2584,14108,2
579,17,28873933,2714,10892,2
765,24,36557518,3164,14491,0
604,21,30791620,2491,11353,5
775,23,37139761,2602,14783,2
612,18,30454419,2625,11713,0
725,23,35612703,2103,13757,0
715,19,36149371,2756,13762,0
767,25,38338429,2082,14402,0
736,27,38027636,2061,14035,2
792,20,40784857,2482,14916,0
521,23,25527895,2756,9884,0
664,30,34638748,2504,12596,0
566,27,28484193,2441,10670,0
653,15,33262098,2337,12419,5
800,10,40365222,2126,15132,2
708,12,36905094,2541,13546,2
689,29,34168303,2630,13121,0
699,29,36275062,2512,13515,1
577,17,28620774,2577,10950,0
561,29,28622468,2922,10585,0
787,21,39939131,2639,15152,1
681,17,33513199,2480,12916,1
561,12,27121823,2767,10755,0
596,22,29774959,2886,11189,4
678,30,33853872,2077,12729,1
558,14,28467577,2308,10531,0
744,27,36090500,2861,13828,4
587,27,29450914,2328,11108,1
757,19,37333554,2283,14258,0
683,12,35274942,2356,12923,2
738,24,36467640,2905,14038,1
570,12,27948238,2210,10802,2
797,14,40413606,1691,15251,0
604,19,30064797,2605,11279,2
587,21,29410227,3074,11122,0
592,16,29362161,2184,11131,3
760,10,36973758,2336,14177,5
683,24,34499959,2764,12874,2
556,30,27792856,2675,10520,0
705,11,35572601,2809,13374,5
665,26,32735429,2495,12806,4
795,26,39979120,2071,15066,3
570,19,28884317,1841,10778,1
636,15,31299850,2931,12065,4
766,14,38730270,2166,14318,2
620,19,32121646,2428,11813,0
527,16,26316574,2563,10095,0
563,12,27794770,2192,10572,5
714,23,36341643,2221,13654,0
526,26,26995130,2692,9960,0
730,22,37539701,2950,13882,0
658,20,32108596,2926,12319,2
629,13,31757680,2601,12157,1
626,12,30099338,2425,11656,1
609,24,31961355,2294,11514,1
604,25,29958752,1887,11624,1
548,21,26669716,2410,10453,2
717,18,35837477,2802,13391,2
650,16,33413988,2242,12211,2
776,19,38176834,2287,14751,0
740,12,38575827,2759,14034,0
