NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
783,26,39096168,2435,14972,5
780,28,37954271,2517,14930,0
710,13,34747493,1843,13351,1
719,15,35791642,3457,13419,0
741,11,35781978,2369,14023,1
674,22,34057848,2212,12857,0
794,15,38562131,2336,15167,2
546,24,28320378,2173,10325,0
599,19,28003728,2174,11434,2
728,23,36763748,2476,14040,0
770,23,37895542,2459,14386,0
589,24,29705444,2005,11152,0
759,19,37242270,3109,14496,0
702,11,34834889,2302,13304,0
715,27,35603900,2422,13519,0
790,19,40065992,2659,15110,1
613,13,30173932,2825,11695,0
580,24,29316900,2351,10924,1
704,14,35143682,2862,13282,1
634,10,31129638,2558,12134,0
526,11,26431207,2507,10160,0
694,13,34183367,1737,13290,4
750,26,37261771,2384,14156,0
555,16,28571419,2687,10396,1
719,14,35033578,3064,13717,1
714,16,35775888,2875,13671,0
659,16,32844977,1566,12551,0
708,17,34277111,2397,13378,5
740,18,36181832,2369,13889,0
509,15,24816323,2097,9529,5
562,16,28227985,2415,10617,1
594,18,29771115,2061,11334,4
638,16,32082482,2702,11996,0
701,11,34635360,2326,13251,0
705,28,34444244,2319,13496,1
619,23,32574291,2603,11647,0
736,14,36689512,2431,13927,0
729,24,36213801,2606,13811,1
614,22,31628046,2477,11705,0
535,24,27319671,2484,10096,2
592,10,29414217,2705,11405,1
552,26,29131219,2353,10391,0
655,17,31938570,2895,12405,5
538,25,27153954,1912,10145,0
681,12,34216432,2417,13120,1
592,16,29539378,3259,11083,2
627,11,30397348,2107,11925,0
689,19,35511250,2285,13256,5
707,17,34569837,2260,13327,1
651,23,32272072,2188,12352,0
675,16,34528092,2058,12856,0
518,21,25297673,2192,9907,0
793,30,40245596,1811,15003,0
610,11,30981494,2420,11536,0
798,21,39708394,2735,14959,0
585,11,28523930,2202,11027,2
694,17,33536684,2374,13120,2
696,14,36305855,2983,13112,1
679,22,34334548,1889,13027,0
793,28,39766031,1887,15214,0
510,29,26030384,2677,9342,0
660,25,32368619,2502,12476,5
792,17,39934562,1951,15334,0
509,27,26876293,2485,9849,4
600,10,29943248,2001,11315,2
657,29,33717537,2308,12408,0
516,10,26026705,2334,9942,2
511,26,25328611,2205,9714,1
633,16,32651584,2574,12058,0
548,16,26521522,2085,10352,2
773,28,40040523,2529,14502,0
642,12,31000595,2390,12063,0
624,23,31721250,2698,11940,1
768,27,37899482,2176,14679,0
764,29,37941529,2155,14614,0
666,22,34323253,2647,12462,4
524,22,28082341,2802,9920,0
625,20,30783635,2746,11722,0
618,14,30776502,2170,11658,0
683,18,32448459,2715,12940,0
650,21,32436925,2410,12071,0
664,21,33700239,2646,12289,2
701,20,35721156,2927,13302,1
630,26,31710921,2526,11968,0
782,17,37458559,2851,14948,1
640,17,32272760,2361,12285,0
703,19,35196836,2904,13240,0
600,20,30664716,2587,11435,0
719,18,35379797,2782,13456,5
611,23,31092730,2687,11670,0
723,11,37497040,2179,13971,1
587,13,28612888,2374,11260,0
728,16,35932242,2326,14036,1
639,12,31605903,2052,12020,0
723,30,36595501,2773,13575,5
580,13,27110131,2970,11003,5
644,24,32443251,2462,12015,5
766,26,37272893,2302,14807,5
641,22,32930644,2787,12111,5
510,15,25906115,1473,9611,5
690,17,35149523,2388,13002,5
705,17,35318117,2491,13489,5
786,21,38354136,2389,14785,5
724,13,34831564,2006,13885,5
604,18,29922249,2444,11292,5
707,20,34958605,2658,13460,5
585,11,29215221,2351,11090,5
545,29,27216532,2483,10370,5
795,24,39883463,2021,15326,5
790,12,39284312,1933,15013,5
528,20,27538210,2184,9943,5
596,27,28546199,2822,11292,5
552,24,28833985,2697,10547,5
693,14,34622165,2393,13065,5
718,29,36985217,2792,13732,5
535,23,27418447,2292,10198,5
628,26,32008687,3153,11879,5
741,27,36391951,2479,13988,5
588,25,30075137,2316,11282,5
630,26,31805485,2535,12103,5
534,17,26538329,2471,10120,5
733,23,37117584,2375,13988,5
757,23,37193996,3253,14506,5
743,28,36911706,2608,14227,5
716,27,35290522,2330,13581,5
588,22,28719909,2195,11041,5
778,24,39551098,2172,14464,5
595,26,29000575,2438,11275,5
619,18,30908989,2696,11833,5
570,21,30126994,2740,10859,5
788,20,38909997,2530,14787,5
527,10,25846252,2742,10098,5
534,25,27137697,2378,10270,5
502,22,24126868,3015,9586,5
794,21,39954097,2576,15005,5
675,23,32736126,2586,12693,5
538,29,27466132,2855,10108,5
638,20,31126553,2567,12262,5
792,28,37881898,2543,14971,5
510,12,25152050,2253,9648,5
528,20,27253930,3034,9930,5
773,27,39976534,2630,14543,5
597,18,29993517,2529,11426,5
759,26,37146468,2222,14435,5
613,23,30849277,2246,11700,5
708,23,34262914,2427,13271,5
522,13,26963403,2480,9879,5
569,17,28428641,2648,10782,5
565,25,28637077,2526,10609,5
659,26,32165316,2477,12488,5
640,19,31324161,2453,12128,5
536,22,26575158,2835,10190,5
641,16,33122512,1954,12000,5
767,30,39032036,2294,14440,5
676,28,34274903,3068,13035,5
668,19,33436076,2772,12724,5
664,23,33671367,2613,12577,5
647,17,32775982,2834,12173,5
732,18,36507065,2813,13899,5
623,20,31113671,2735,11920,5
681,11,33584429,2962,12801,5
638,13,32551156,2949,11909,5
642,20,30359359,3060,11978,5
797,13,39913679,2002,15027,5
507,12,25632128,2683,9501,5
515,14,25206760,1976,9764,5
549,29,27724077,2857,10407,5
721,27,35858493,2137,13716,5
608,16,30537354,2658,11470,5
564,17,29022682,2837,10795,5
779,12,39458185,3325,14664,5
746,26,37486846,2158,14169,5
581,28,28048025,2714,10966,5
778,24,37646681,2509,14878,5
629,23,31814759,2677,11977,5
674,29,33553658,2631,12851,5
687,15,33717574,3080,13160,5
788,20,38374060,2045,15071,5
636,30,31670106,2409,11911,5
596,25,28997626,2335,11470,5
795,15,39306864,3113,14885,5
579,24,27717089,2604,10971,5
748,17,38442766,2158,14213,5
500,30,25289722,2256,9433,5
692,19,36388187,3026,13004,5
574,28,29336743,2023,10837,5
697,23,34526564,2760,13422,5
627,27,31938092,2579,11914,5
558,21,28666651,3448,10373,5
790,30,38904472,2292,15146,5
609,18,30175731,2569,11527,5
525,26,26834191,2113,9978,5
697,24,34416587,3161,13272,5
647,21,32638518,2726,12388,5
521,25,26728630,2045,9734,5
625,24,30536426,2322,11846,5
714,11,33768380,2233,13374,5
789,17,38915795,2438,14857,5
527,26,26630582,2387,10026,5
631,12,31428019,2222,11923,5
634,18,31063791,2573,11756,5
736,21,36160532,2845,13993,5
515,20,25734916,2397,9638,5
601,13,29060588,3265,11257,5
794,11,39709135,2875,14945,5
716,20,36623775,1889,13631,5
795,29,39373251,2964,15031,5
620,30,30440906,2323,11844,5
706,14,35751671,3068,13382,5
740,17,36078329,2853,14047,5
599,23,29258704,2382,11473,5
647,13,30785835,2693,12186,5
601,23,30792548,2387,11336,5
513,13,25908280,2306,9714,5
541,29,27203461,2724,10198,5
777,17,39679531,2289,14540,5
666,17,33432351,3044,12392,5
753,23,38809397,2713,14506,5
657,22,33471923,2383,12629,5
724,27,37552680,3183,13568,5
646,26,32773379,2758,12287,5
799,30,40457075,2385,14999,5
568,18,27933210,2348,10601,5
662,12,33327118,2577,12765,5
605,22,29016545,2314,11359,5
591,19,28865084,3096,11397,5
792,30,40187259,2618,15134,5
599,15,30309178,2458,11552,5
765,10,37424863,2016,14440,5
668,28,34225595,2820,12639,5
520,15,27785896,3001,10022,5
795,24,40514346,2877,15442,5
729,20,36860585,2511,13695,5
517,24,25301872,2714,9911,5
749,17,37668247,2895,14117,5
686,12,33237628,2688,13067,5
631,10,30849281,2341,11989,5
703,19,34379425,2382,13311,5
651,23,32240602,2259,12345,5
619,13,30624933,2956,11624,5
696,20,35026991,2458,13128,5
736,29,36379965,1947,13846,5
777,17,38179307,2535,14737,5
769,15,38563732,2901,14701,5
606,29,29831102,2481,11614,5
700,25,35101808,2034,13168,5
695,12,33455767,1619,13476,5
747,20,36753124,2556,14038,5
741,17,38152720,2306,14032,5
648,22,30950497,2230,12225,5
625,27,32773344,2923,11730,5
730,12,37079584,2907,13852,5
516,25,26385388,2642,9800,5
775,26,38782280,2349,14625,5
