NOOFTASKS,NOOFMAC,LENGTH,LOAD,ARRIVAL,ALGO
643,24,31977425,2422,12251,0
760,23,37785580,2444,14513,0
696,12,34697498,2190,13151,2
627,25,31271161,2896,11875,2
622,28,30810251,2451,11841,1
653,21,33754958,2739,12521,1
639,24,32283512,2293,12109,0
690,12,35887110,2792,13085,1
558,29,28629314,2301,10494,1
774,17,38403027,1913,14673,2
773,24,37836013,2398,14721,0
759,21,37430861,2519,14320,0
706,28,34661623,2612,13338,0
590,29,30093134,2571,11045,0
566,25,28667552,1532,10684,0
704,13,36592919,2422,13503,0
590,11,29514530,1963,11154,1
565,14,29217951,2023,10736,2
594,15,30677315,2177,11348,0
646,13,31123107,1792,12316,0
511,20,25559912,2319,9722,0
660,12,33126722,2391,12709,4
752,26,37010017,2029,14236,0
542,27,27675594,2396,10236,1
753,11,37131568,2344,14173,1
659,13,32848862,2246,12386,4
704,30,35955544,2977,13224,1
699,22,35070306,2558,13346,0
627,30,31655342,2229,11798,3
622,22,30901075,2431,11951,2
702,11,35690644,1663,13405,0
613,16,30870869,2134,11733,0
676,23,33103997,2235,12709,0
656,10,32864136,2538,12499,4
616,23,32182372,2462,11650,0
707,23,35475026,2682,13453,1
732,21,36196430,2003,13753,0
553,11,27785282,2930,10409,1
776,25,37976515,2269,14964,0
693,14,34614847,2823,13155,2
677,30,33384724,2596,13046,0
643,29,33279587,2546,12247,1
794,24,39862660,2480,14899,3
511,16,25935170,2921,9502,5
641,12,31119604,2267,12134,1
719,18,36050542,2771,13771,1
686,24,34529515,2262,13044,0
653,21,33363156,2299,12251,5
690,24,34373970,1877,13229,5
691,12,34062989,1535,13103,1
772,21,38281437,2961,14601,5
685,28,33139632,2096,12953,0
501,18,25789173,2459,9495,0
791,15,39097126,3030,14934,0
528,13,26453066,3253,9904,1
568,27,27775100,2773,10674,2
774,22,38147880,2731,14774,0
707,26,36000474,2707,13679,2
649,23,33969196,2244,12353,4
771,22,38822024,2924,14515,2
537,18,26239735,2339,10006,5
709,25,34842149,2909,13259,0
577,18,28939688,2214,10957,2
680,12,34044991,2588,12823,2
544,17,27159981,2440,10190,2
559,19,26044361,2221,10771,2
757,22,38104570,2355,14133,0
733,17,37021409,2543,13838,1
718,22,35976949,2436,13540,5
719,15,35625629,2637,13759,4
701,28,34830849,2681,13353,0
735,16,36736744,2735,13912,1
557,10,27466870,1433,10737,0
782,16,39135098,2531,14885,4
747,16,37302188,2589,14008,5
614,16,31056410,2364,11596,0
656,21,33599112,2439,12594,5
648,11,31163599,2130,12461,3
654,13,31635106,2036,12454,5
712,17,36084458,1998,13190,5
678,20,34548529,2339,12752,1
782,12,37156610,2920,14884,0
782,23,38934953,2003,15079,4
792,20,39674711,1977,15182,1
657,15,32828527,1973,12753,2
746,14,36396197,2256,14205,0
536,30,24888329,2689,10233,1
748,18,37222849,2742,14213,0
676,24,34356905,2833,12767,2
797,21,38039512,2671,15270,1
694,12,33274032,2538,13302,4
756,23,36594439,2496,14549,0
694,15,36051890,2890,13196,4
557,20,27196883,2740,10387,0
565,16,26746453,2816,10704,2
650,18,32241834,2353,12235,1
527,25,26400241,2877,10154,1
800,30,39722200,2477,15203,0
763,22,38740604,2782,14480,0
654,10,33403061,1325,12596,0
639,18,32055257,2993,12138,0
594,28,30182988,2485,11251,1
691,11,35310279,2747,12987,2
679,24,33191081,2706,12842,2
794,29,39672551,2690,15236,0
709,30,34606769,2971,13430,0
574,28,28901076,2810,10790,0
683,26,33669974,2371,13071,4
576,19,28428693,2515,11014,0
587,10,28213954,2339,11147,0
747,28,37726445,2823,14131,0
664,11,33208508,2981,12580,1
604,24,29528716,2884,11456,0
539,26,28001050,2326,10355,0
665,26,32998769,2519,12476,2
576,30,27349849,2680,10748,1
784,10,40653506,2377,15014,0
516,23,25967484,2318,9759,1
515,29,24515176,2964,9673,0
606,17,30330964,2148,11430,1
702,29,34606430,2488,13338,0
679,10,34879179,2027,12901,0
502,24,24923767,2517,9445,2
692,21,35339441,1946,13086,5
543,25,26962617,2601,10314,5
676,23,34198162,2271,12780,0
556,22,27166606,2655,10583,0
772,28,39392969,2156,14516,0
692,18,34670726,2162,13165,2
750,10,36699180,2901,14324,2
663,15,33334060,2424,12610,0
538,21,27882191,2263,10149,0
635,24,31648993,2125,12082,2
640,30,32507796,2447,12064,0
574,29,28312913,2616,10940,0
529,23,26053539,2451,10152,0
743,24,37571119,2290,13834,0
739,29,38530974,2293,13923,0
